Correlation,P value,R value,Slope,Intercept,R squared percentage
Size & section nodes,0.0,0.9610682822782132,0.7788274722650551,-0.09525161995788323,92.36522432011952
Size & above section nodes,0.0,0.8674179114719848,0.7595126178635745,-0.7935100243368186,75.241383314242
Size & below section nodes,0.0,0.9641108179251927,1.1894422200089427,-0.6423705819667163,92.95096692403841
Size & text nodes,0.0,0.9984198308659991,1.0171373910045656,-0.1279859919623847,99.68421586664901
Size & non-text nodes,0.0,0.972896278353208,0.9530659459984374,-0.6495523083175467,94.65271684335228
Sections & above section nodes,0.0,0.8683796854227968,0.9382730558007011,-0.6520966426577272,75.40832780549954
Sections & below section nodes,0.0,0.8697234478130734,1.3240688094464093,-0.22994701436495846,75.64188756758598
Above section & below section nodes,1.0637443003227869e-245,0.7957061807660796,1.1211468939065878,0.8587376669021551,63.31483261093409
Size & mean depth,0.0,0.9264175720450211,1.3971391741316113,-0.14369434334842834,85.82495177937918
Size & mean leaf depth,0.0,0.9077075248356449,1.4221561576088124,0.07871592904017577,82.39329506432529
Size & Flesch,0.0004061979238567491,-0.10548182658212338,-1.7460500817998035,19.448116555928557,1.112641573910115
Size & word entropy,0.0,0.9250826474988634,1.2359861354563146,2.869582814582791,85.57779047035064
Size & lemmatised word entropy,0.0,0.920725787363755,1.160790615949712,2.8924235797212545,84.77359755166066
Size & word length,0.0001873811207935471,0.11139470552671873,0.06462565031123184,5.702520810430597,1.240878041938438
Size & net flow per section,0.2809712081050464,-0.03224322738021177,-0.061596776951926654,0.3859693917548318,0.10396257118920381
Size & net flow,3.4175236074009753e-46,0.4081174715519572,0.3859905490403581,-0.08221218329496505,16.65598705859626
Size & internal citations,0.0,0.8944126656454419,1.0825283893403204,-0.9703884028276952,79.99740164669849
Size & external citations,6.6632764123072855e-304,0.8433983671991968,0.9779030917994831,-0.6806181737357504,71.13208057942713
Size & citations total,0.0,0.9188012685358553,1.1421621582146742,-0.6675794082302626,84.41957710630969
Size & tokens per section,9.819328296966134e-102,0.580157597096563,0.25037579821414035,1.4207564589738289,33.65828374688579
Size & number of words,0.0,0.9777255988837126,1.0341653243469375,1.305357931410494,95.59473467125144
Flesch & word length,1.6683454135014505e-112,-0.6044202460988864,-0.021183627214617667,6.16451388057797,36.53238338942384
Flesch & number of words,5.52946189566645e-05,-0.1201775614524819,-1.880743010180821,22.263161405718762,1.4442646276665063
Flesch & tokens per section,0.045938361168265766,-0.059654182991062225,-2.2880925844364843,20.576071789624415,0.35586215483311373
Size & number of tokens,0.0,0.977146093234855,1.0292032704791956,1.3255048390159456,95.481448752414
