;name;mean;median;standard_deviation;pstandard_deviation
0;nodes;227.0;68.0;516.4774922491782;516.2460653603085
1;text_nodes;186.0;54.0;424.8270236225563;424.63749245680134
2;nontext_nodes;40.0;12.0;93.30594836343501;93.26306878931231
3;above_section_nodes;10.0;3.0;24.1039415863879;24.1039415863879
4;below_section_nodes;162.0;39.5;387.9445836714311;387.77184013282863
5;section_nodes;53.0;19.0;114.66908912169835;114.61675270221191
6;tokens;6107.0;1526.0;14721.34477552917;14714.771286024123
7;tokens_per_section;92.12267781080732;84.78804347826087;61.10189100343242;61.074607282043786
8;tokens_per_text_node;31.914473528327562;30.796984924623118;12.428575925601821;12.423026215155174
9;entropy_lemma;4.992895237880011;5.109243642175014;0.8901755998954155;0.8897781113290937
10;entropy_word;5.106122128160107;5.217276499018276;0.9433767502929605;0.9429555059092464
11;num_words;6005.0;1503.5;14531.36982531241;14524.8811354861
12;num_sentences;262.0;79.0;595.7163754673863;595.4502498110148
13;avg_sentence_length;24.288152882387408;23.797747423915652;8.135260004258512;8.131627380722069
14;avg_syllables_per_word;1.9609210110818134;1.9492108891659945;0.14236190259825057;0.14229833398485645
15;avg_word_length;5.81946209596792;5.77176376256463;0.40963068414591447;0.40944777246716063
16;citations;115.0;22.0;285.8898389240163;285.76213884977835
17;citations_internal;61.0;8.0;176.3774361986249;176.2980430974774
18;citations_in;34.0;1.0;153.17310468878014;153.10453944935793
19;citations_out;35.0;8.0;84.823345842993;84.78797084492588
20;citations_external;69.0;12.0;204.24250292238392;204.15190422819964
21;net_flow;0.0;3.0;140.00357138301865;139.9428454762872
22;net_flow_per_section;0.27450890745759005;0.1818181818181818;1.3488746307346038;1.3482723200858042
23;flesch;16.28860728685539;16.967040950248844;11.687756606209586;11.682537692528436
24;mean_depth;2.3844543145090165;2.282392026578073;1.0648415530218307;1.064366071170474
25;mean_leaf_depth;2.652133271916662;2.59041394335512;1.1062504352272873;1.1057564631395969
